Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
rhyme GIA,(+1),161,0.94,174.0,0.83,74%,113.9,0.58,0.54,0.04,0.08,32%,11%,2/18,20,94,113,87,6,13
Lysoar FPX,,85,0.94,208.5,0.95,72%,133.8,0.71,0.16,0.07,0.12,31%,,0/8,18,60,63,14,6,10
Chronicle FNC,,270,0.94,169.1,0.89,72%,113.1,0.58,0.43,0.07,0.05,23%,,0/18,17,156,176,116,20,14
saadhak LOUD,(+2),515,0.94,185.7,0.87,73%,120.1,0.60,0.49,0.10,0.12,19%,11%,5/47,21,310,355,252,53,64
Boaster FNC,,270,0.94,177.6,0.90,72%,110.2,0.60,0.42,0.10,0.06,23%,39%,11/28,19,163,182,114,28,16
nukkye GIA,,161,0.92,185.7,0.88,65%,131.2,0.65,0.19,0.06,0.06,21%,6%,2/31,22,105,119,31,10,10
Yuicaw FPX,,85,0.91,206.8,0.87,66%,129.1,0.69,0.15,0.19,0.16,29%,,0/6,18,59,68,13,16,14
Knight BLG,(+1),237,0.90,188.8,0.91,70%,123.1,0.66,0.32,0.06,0.13,28%,13%,4/31,19,157,172,76,14,30
Haodong EDG,,358,0.89,168.4,0.83,74%,107.1,0.59,0.47,0.05,0.09,30%,18%,6/34,22,212,254,167,19,33
Zyppan NAVI,,204,0.89,198.3,0.88,69%,138.0,0.67,0.29,0.11,0.14,27%,15%,2/13,21,136,154,59,22,29
Rb DRX,,283,0.88,162.8,0.85,65%,113.5,0.58,0.16,0.08,0.08,23%,21%,12/57,23,163,191,45,23,24
Boostio EG,(+1),459,0.88,187.7,0.87,70%,128.7,0.63,0.26,0.11,0.11,23%,10%,4/41,26,291,335,119,51,52
qw1 FUT,,216,0.86,190.6,0.93,64%,123.2,0.70,0.08,0.16,0.17,28%,12%,2/17,21,151,163,18,35,37
ban T1,,129,0.86,176.3,0.82,66%,109.9,0.62,0.33,0.05,0.12,33%,11%,2/19,16,80,98,43,6,16
FiNESSE NRG,,130,0.84,181.4,0.72,74%,122.5,0.52,0.41,0.10,0.10,16%,10%,1/10,16,67,93,53,10,10
NagZ KRÜ,,90,0.79,149.5,0.72,61%,103.5,0.48,0.32,0.04,0.06,18%,,0/14,13,43,60,29,4,5
rin BLG,,237,0.79,144.9,0.73,66%,91.9,0.51,0.34,0.05,0.07,23%,8%,2/24,16,122,167,81,12,17
soulcas TL,,92,0.79,134.8,0.76,65%,81.7,0.48,0.27,0.04,0.03,39%,6%,1/17,13,44,58,25,4,3
ANGE1 NAVI,,204,0.78,176.8,0.75,70%,117.7,0.59,0.44,0.10,0.14,26%,18%,2/11,24,120,161,89,21,29
Jamppi TL,(+1),92,0.78,162.5,0.85,55%,108.4,0.61,0.07,0.13,0.20,21%,27%,3/11,22,56,66,6,12,18
nizhaoTZH FPX,,85,0.75,137.3,0.71,66%,95.2,0.49,0.27,0.06,0.07,37%,6%,1/16,17,42,59,23,5,6
Redgar TL,,92,0.74,162.8,0.69,68%,110.5,0.53,0.35,0.08,0.10,32%,,0/7,19,49,71,32,7,9
Klaus KRÜ,,90,0.74,157.3,0.71,64%,106.6,0.54,0.28,0.07,0.18,31%,,0/3,14,49,69,25,6,16
Melser KRÜ,,90,0.69,145.5,0.64,69%,94.3,0.49,0.27,0.10,0.14,26%,,0/11,14,44,69,24,9,13
BerLIN FPX,,85,0.68,155.8,0.60,65%,106.1,0.47,0.34,0.12,0.13,37%,,0/7,13,40,67,29,10,11
carpe T1,(+1),129,0.68,149.8,0.68,60%,99.1,0.54,0.25,0.04,0.12,26%,33%,2/6,17,70,103,32,5,16
TENNN ZETA,,79,0.66,160.7,0.67,51%,111.8,0.56,0.11,0.08,0.25,18%,,0/7,16,44,66,9,4,13
Laz ZETA,,79,0.66,143.7,0.80,51%,84.8,0.61,0.14,0.06,0.22,26%,7%,1/14,20,48,60,11,3,11
SugarZ3ro ZETA,,79,0.64,120.7,0.66,63%,72.8,0.48,0.30,0.02,0.12,20%,,0/4,17,38,58,24,1,6
crow ZETA,,79,0.47,108.3,0.48,53%,73.1,0.37,0.29,0.02,0.04,16%,,0/7,13,29,61,23,1,2
