Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
aspas MIBR,(+1),330,1.33,261.6,1.66,79%,164.7,0.97,0.13,0.20,0.07,26%,8%,2/26,32,319,192,44,67,23
RieNs TH,,256,1.17,226.1,1.14,73%,148.9,0.79,0.33,0.07,0.05,34%,20%,7/35,23,203,178,85,18,12
brawk NRG,,377,1.16,224.6,1.17,76%,144.7,0.73,0.34,0.07,0.06,17%,9%,4/47,28,275,236,128,26,23
kaajak FNC,(+1),453,1.15,228.4,1.20,71%,148.2,0.82,0.20,0.21,0.13,32%,13%,4/30,30,372,311,90,95,59
johnqt SEN,,126,1.14,187.0,1.13,79%,118.7,0.67,0.27,0.04,0.04,33%,9%,2/22,17,85,75,34,5,5
Smoggy EDG,,119,1.13,206.0,1.09,77%,135.3,0.74,0.40,0.09,0.04,25%,17%,4/23,26,88,81,48,11,5
leaf G2,(+1),268,1.11,222.8,1.13,71%,151.5,0.79,0.26,0.11,0.09,21%,15%,5/33,30,213,188,69,30,24
something PRX,,356,1.10,220.4,1.17,72%,141.0,0.79,0.26,0.16,0.13,25%,13%,5/38,28,281,240,94,57,48
Knight BLG,,95,1.10,196.8,0.97,67%,135.4,0.68,0.28,0.08,0.09,26%,12%,2/17,20,65,67,27,8,9
skuba NRG,(+1),377,1.09,190.1,1.17,76%,124.9,0.71,0.25,0.06,0.06,30%,21%,12/58,28,266,228,94,21,24
SpiritZ1 DRG,,98,1.08,237.0,1.03,79%,155.7,0.82,0.33,0.21,0.11,30%,,0/2,27,80,78,32,21,11
NoMan XLG,(+3),157,1.08,221.4,1.18,73%,140.7,0.78,0.19,0.10,0.10,32%,5%,1/19,23,123,104,30,16,16
cortezia MIBR,(+1),330,1.08,196.4,1.27,75%,130.2,0.72,0.21,0.11,0.07,33%,8%,3/40,25,237,186,68,35,22
Cloud GX,,261,1.07,202.5,1.02,70%,135.2,0.69,0.33,0.07,0.06,29%,7%,3/43,23,179,176,85,18,16
Chronicle FNC,(+1),453,1.07,204.2,1.07,70%,138.7,0.72,0.28,0.09,0.08,29%,7%,4/60,31,326,304,125,42,35
Alfajer FNC,(+3),391,1.06,211.7,1.14,69%,141.3,0.76,0.18,0.14,0.10,34%,5%,2/40,25,299,263,72,53,41
jawgemo G2,,268,1.05,230.4,1.09,68%,141.7,0.80,0.20,0.20,0.14,28%,19%,6/31,28,214,196,54,53,38
